Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2928.2036	265.93945	3091.3218	1525.852	3201143.5	3159.7344	3205333.5	3196334.2	28.681313	5.196716	59.68112	24.209055	29.61492	0.5995206	30.550644	28.748371	288.0	288.0	0.0	0.0	2986.5354	0.04977559000651042	30001.0	414.23633	209.25696	722.2905	-11.0803995	414.19543	209.33498	722.67993	-14.237587	4.7113886	1.9319692	8.059039	-3.3016496	0.8124883	0.6973963	7.8819647	0.00891516	1.0715432	1.5954527	17.791182	-11.91739	-412.0606	10.104285	10.476985	0.015240021	0.0014245743	-0.053753242	0.09722547	1.1081777	0.84182173	-1.3559287	0.30238873	-1.0715431	0.3332405	149.47267	149.9341447353363
2	3009.7327	26.369032	3073.3247	2946.3782	3195745.5	2099.8345	3198844.8	3192494.2	26.33507	1.3020939	29.728704	22.67836	29.574566	1.1157768	31.643177	27.549654	288.0	288.0	0.0	0.0	5730.8706	0.06367634006076389	60001.0	804.2	49.49693	897.2979	660.28143	804.1986	49.50466	896.2964	655.9825	8.242035	0.46773544	9.722936	6.926616	0.040837616	0.03332538	0.14065978	0.0055549215	1.0002246	1.2060976	8.5261345	-12.201174	-797.9335	6.273441	6.6362314	0.004578282	5.7251293e-07	7.034858e-06	0.07096687	1.0737412	-0.35808337	-0.8611509	0.5598776	-1.0002247	0.28438234	150.49219	300.4608533382416
3	3014.9248	28.140236	3070.5383	2935.225	3203426.2	2822.7903	3207315.5	3197286.5	25.549814	1.2324197	29.036045	22.542452	29.31367	0.96689385	30.15123	26.953405	288.0	288.0	0.0	0.0	8390.909	0.0699242431640625	90001.0	896.5457	14.196411	941.3982	835.33075	896.5453	14.218548	941.5841	827.2064	8.962745	0.11890572	9.93668	8.4876585	0.002011792	0.0016323243	0.00699279	0.00029346655	1.0000644	1.1835852	8.319692	-11.589961	-870.5295	5.860874	6.154676	0.0040349937	3.1493297e-08	9.263292e-05	0.066940814	1.069387	-2.7077243	0.96020246	2.736409	-1.0000641	0.30553555	150.56357	451.03493642807007
4	3008.21	31.802176	3063.8965	2877.485	3200077.5	4574.9644	3204791.2	3191183.8	24.069956	1.4567032	27.91334	19.55763	26.619198	1.1222967	28.03883	23.958397	288.0	288.0	0.0	0.0	10898.128	0.07265418619791666	120001.0	919.44916	8.01164	951.75433	871.6109	919.4489	8.0434265	952.0903	868.00684	8.726887	0.17261857	9.76131	8.201085	9.427488e-05	7.7267054e-05	0.0003262784	1.4263799e-05	0.9999793	1.1703923	3.952448	-11.346009	-869.05054	5.6179295	5.862004	0.0036014048	7.406844e-10	0.00015271238	0.062391132	1.0645324	-3.9588978	1.7158728	5.625717	-0.999979	0.30568933	150.70207	601.7442820072174
5	2988.8142	35.169777	3072.5088	2897.4744	3194256.0	4214.447	3202760.2	3187598.2	21.441298	1.4620376	25.518763	17.60008	24.266209	1.0501946	26.49351	23.03025	288.0	288.0	0.0	0.0	13129.865	0.07294369574652777	150001.0	922.2146	7.5023427	954.6449	875.6758	922.2138	7.5279107	956.2855	870.1512	8.046101	0.24082641	9.058147	7.501415	4.5576376e-06	3.706947e-06	1.5177819e-05	6.9419076e-07	1.0002948	1.1487286	3.756682	-11.679552	-854.8638	5.5083075	5.689425	0.003150694	1.4734929e-11	-0.0002058571	0.06557008	1.0678949	-0.90156007	2.1039822	8.217689	-1.0002947	0.29835486	150.58794	752.3503839969635
6	2991.3	36.77199	3067.64	2857.6943	3195297.5	6509.562	3202358.0	3183939.5	20.915993	1.5940015	24.583466	16.547155	24.262344	0.7789312	25.092312	22.75905	288.0	288.0	0.0	0.0	15308.234	0.07289635416666666	180001.0	919.9386	7.4658647	951.8355	873.6817	919.9382	7.485428	953.452	868.4951	7.47448	0.13430887	8.352427	7.14159	2.2642692e-07	1.8242007e-07	7.4765853e-07	3.0767755e-08	0.99985474	1.1423335	3.1918411	-11.45664	-850.5099	5.3623247	5.5060625	0.0030527005	5.272003e-12	0.00026187964	0.05911683	1.0610293	-9.52554e-05	2.2098112	9.114169	-0.9998549	0.29841185	150.69615	903.0207481384277
7	2993.0588	27.889454	3056.9866	2937.2524	3192079.5	3624.0146	3197811.8	3185253.5	21.400423	1.4784242	25.40582	18.534084	23.234184	0.9456883	24.80436	21.49813	288.0	288.0	0.0	0.0	17536.408	0.07306836751302083	210001.0	921.1632	7.4522357	950.14795	872.1916	921.1635	7.4734287	952.1225	867.99335	7.3828053	0.09487081	8.126849	7.090644	1.4778841e-08	7.473251e-09	4.9243027e-08	1e-08	0.99995494	1.1417423	3.204597	-12.492351	-857.7544	5.063695	5.1651626	0.003210961	3.7682127e-12	0.00014893402	0.034316234	1.0350653	0.00021383917	2.1297412	8.415422	-0.99995506	0.29606438	150.82645	1053.863315820694
8	2992.8186	28.818005	3053.903	2896.81	3179719.5	8311.765	3191927.8	3165523.2	21.440208	1.196157	24.238668	18.92553	21.266403	0.8293626	22.475967	19.428978	288.0	288.0	0.0	0.0	19770.605	0.07322446469907408	240001.0	923.66595	7.3528733	953.4635	877.1856	923.6669	7.3721232	954.4946	873.5998	7.4442453	0.08769936	8.216352	7.1986704	9.999918e-09	8.1712415e-14	1e-08	1e-08	1.000098	1.143347	3.384594	-14.84583	-861.0311	4.768458	4.8200397	0.0032455416	5.0004445e-13	-1.5518348e-06	0.025766453	1.0262091	-7.351788e-07	2.108875	8.238992	-1.000098	0.29900718	150.89595	1204.7579522132874
9	2992.431	29.673746	3069.053	2908.9226	3193646.0	8284.895	3201187.2	3171291.0	21.560608	1.3808305	25.13654	18.047842	24.699306	1.1726264	26.13678	22.996826	288.0	288.0	0.0	0.0	22017.326	0.07339108723958333	270001.0	924.88776	7.3068824	953.5623	881.13947	924.8866	7.3258862	953.3372	877.19586	7.426105	0.087206244	8.233649	7.1766367	9.999918e-09	8.1712415e-14	1e-08	1e-08	1.0001657	1.1412699	3.813352	-11.826669	-862.0241	4.6285453	4.657532	0.0032258062	5.0004445e-13	-7.347499e-05	0.022334743	1.022691	-8.4174286e-07	2.115265	8.29179	-1.0001652	0.30404782	150.89656	1355.686367034912
10	2995.6873	30.925217	3069.501	2929.0645	3190424.0	10264.565	3202052.2	3171155.2	21.100565	1.4470965	25.485264	17.61779	22.38531	1.2889885	25.086159	20.75062	288.0	288.0	0.0	0.0	24217.055	0.07338501420454545	300001.0	925.7645	7.305507	956.96387	884.5488	925.7642	7.3222704	958.07007	879.85876	7.412036	0.08510251	8.291794	7.1796293	9.999918e-09	8.1712415e-14	1e-08	1e-08	0.99996275	1.1424552	3.5755925	-12.59039	-862.9489	4.52767	4.5309205	0.0031885633	5.0004445e-13	0.00013990329	0.018538864	1.0188246	-2.338988e-07	2.1166165	8.302998	-0.9999622	0.29914427	151.19714	1506.8718774318695
