[train] t=  1000 | LossPi=-11.0822 | PiEntropy=-1.9934 | Alpha= 0.9293 | PiEntTerm= 1.8524 | MinQ= 14.2394 | PiCostTerm= 1.3048 | QcPiCVaR= 1.9520 | QcPi= 0.7084 | QcPiVar= 2.4315 | Beta= 0.6685
[train] t=  2000 | LossPi=-40.0665 | PiEntropy=-1.6461 | Alpha= 1.5413 | PiEntTerm= 2.5371 | MinQ= 44.0313 | PiCostTerm= 1.4277 | QcPiCVaR= 2.2852 | QcPi= 1.1630 | QcPiVar= 1.9796 | Beta= 0.6247
[train] t=  3000 | LossPi=-79.8043 | PiEntropy=-0.5784 | Alpha= 1.2324 | PiEntTerm= 0.7128 | MinQ= 82.1185 | PiCostTerm= 1.6014 | QcPiCVaR= 2.7408 | QcPi= 1.6331 | QcPiVar= 1.9287 | Beta= 0.5843
[train] t=  4000 | LossPi=-119.0382 | PiEntropy=-0.8597 | Alpha= 1.0514 | PiEntTerm= 0.9039 | MinQ= 121.6511 | PiCostTerm= 1.7091 | QcPiCVaR= 3.1294 | QcPi= 2.1457 | QcPiVar= 1.5205 | Beta= 0.5461
[train] t=  5000 | LossPi=-158.9683 | PiEntropy=-0.8146 | Alpha= 1.1439 | PiEntTerm= 0.9317 | MinQ= 161.6226 | PiCostTerm= 1.7226 | QcPiCVaR= 3.3756 | QcPi= 2.3784 | QcPiVar= 1.5624 | Beta= 0.5103
[train] t=  6000 | LossPi=-194.8519 | PiEntropy=-1.3149 | Alpha= 1.1835 | PiEntTerm= 1.5563 | MinQ= 198.2369 | PiCostTerm= 1.8288 | QcPiCVaR= 3.8370 | QcPi= 2.8855 | QcPiVar= 1.4224 | Beta= 0.4766
[train] t=  7000 | LossPi=-226.6498 | PiEntropy=-0.9479 | Alpha= 1.1935 | PiEntTerm= 1.1313 | MinQ= 229.5897 | PiCostTerm= 1.8085 | QcPiCVaR= 4.0653 | QcPi= 3.1680 | QcPiVar= 1.2648 | Beta= 0.4449
[train] t=  8000 | LossPi=-262.6628 | PiEntropy=-1.2735 | Alpha= 1.1564 | PiEntTerm= 1.4726 | MinQ= 265.9033 | PiCostTerm= 1.7679 | QcPiCVaR= 4.2600 | QcPi= 3.4291 | QcPiVar= 1.0845 | Beta= 0.4150
[train] t=  9000 | LossPi=-292.0125 | PiEntropy=-1.2688 | Alpha= 1.0901 | PiEntTerm= 1.3830 | MinQ= 295.1569 | PiCostTerm= 1.7614 | QcPiCVaR= 4.5536 | QcPi= 3.7386 | QcPiVar= 1.0434 | Beta= 0.3868
[train] t= 10000 | LossPi=-322.7737 | PiEntropy=-1.2810 | Alpha= 1.1356 | PiEntTerm= 1.4546 | MinQ= 325.9077 | PiCostTerm= 1.6794 | QcPiCVaR= 4.6607 | QcPi= 3.8890 | QcPiVar= 0.9354 | Beta= 0.3603
[train] t= 11000 | LossPi=-348.8960 | PiEntropy=-1.0218 | Alpha= 1.1694 | PiEntTerm= 1.1949 | MinQ= 351.7481 | PiCostTerm= 1.6572 | QcPiCVaR= 4.9387 | QcPi= 4.2091 | QcPiVar= 0.8362 | Beta= 0.3356
