Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageQCM2	StdQCM2	MaxQCM2	MinQCM2	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2644.043	223.3123	2812.34	1440.775	2865174.5	11579.88	2882994.0	2840502.5	40.1467	4.360082	65.85269	31.97796	37.38007	0.8509092	38.735523	35.63177	287.0	287.0	0.0	0.0	4197.9155	0.0699652587890625	30001.0	318.8527	147.76877	557.69305	-14.254115	318.81686	147.8501	557.9336	-11.386864	6.329568	2.029413	12.516902	0.003215963	7.2365665	2.8490756	22.1135	0.47284457	51.418507	26.720358	165.92815	1.16454	1.1695234	2.2171967	32.761494	-11.969522	-300.57864	235.2874	234.06482	0.15121683	0.024567429	-0.119937725	-0.07161144	0.9390949	-11.716619	0.5293292	1.8650068	-1.1695237	0.30926013	333.853	334.4070498943329
2	2696.3096	47.698914	2806.5505	2563.4927	2734368.5	11004.94	2751596.8	2716979.8	34.921604	2.8042243	40.322834	24.781746	38.372467	1.1681408	40.266163	36.681927	287.0	287.0	0.0	0.0	7843.41	0.0871490017361111	60001.0	537.5133	19.842438	629.9112	447.66428	537.5177	19.707346	624.57324	451.36884	8.58031	0.93347454	12.578827	6.620792	12.161673	0.84221363	18.1853	8.027248	86.65463	15.939334	168.51753	56.5391	1.0009826	1.3130127	6.715489	-11.929007	-482.23007	498.20334	498.07593	0.16944094	0.026042318	-0.0003517122	-0.16943417	0.84503883	-39.3916	1.533994	4.7163997	-1.0009826	0.3025906	335.6692	670.1421213150024
3	2667.8064	43.632275	2744.3494	2515.6084	2799718.2	13596.032	2825133.8	2783391.2	29.630856	3.1740477	36.05616	22.124676	31.967245	0.85587144	33.400322	30.30418	287.0	287.0	0.0	0.0	10941.253	0.09117710774739583	90001.0	558.9191	14.021122	638.5349	446.31235	558.9255	13.618479	644.03265	485.3887	8.157681	0.68074256	11.602016	5.9968867	9.539909	1.4797056	16.63366	4.106645	76.55113	11.267444	143.9652	46.835644	1.0000364	1.249474	9.5311985	-12.781931	-475.60754	538.28253	540.4564	0.12905893	0.028733728	0.0002697299	-0.17964059	0.83671576	-58.057167	2.034482	7.696772	-1.0000366	5.632045	340.62915	1010.7708466053009
4	2637.9197	49.14731	2777.5645	2493.392	2749467.5	18158.213	2778478.8	2715386.0	24.027782	3.0466554	31.323683	16.718906	17.88016	1.4052669	20.626322	15.920006	287.0	287.0	0.0	0.0	13449.189	0.08966126302083334	120001.0	553.8671	16.759846	642.7036	430.97598	553.87695	16.637165	644.68884	444.13858	6.913598	0.54564476	10.053213	4.9226236	6.037633	1.0242398	12.734297	2.8291535	54.133278	7.786305	107.38573	30.646011	1.0014585	1.1882461	9.327068	-11.691685	-457.31256	531.46387	527.21173	0.08610533	0.02267469	-0.00102932	-0.10025939	0.9070517	-61.84217	2.3642926	10.671142	-1.0014589	0.29369617	335.38385	1346.155115365982
5	2613.0073	50.313084	2697.0237	2406.4524	2623602.0	26769.527	2676760.2	2587674.2	19.592867	2.4248133	25.969564	13.964713	14.6979885	0.8747639	16.60823	13.447211	287.0	287.0	0.0	0.0	15497.387	0.08609659288194445	150001.0	536.2715	16.948639	623.2719	399.4379	536.27155	17.44842	620.5553	396.26453	5.8218527	0.37532884	8.608496	4.8002143	3.9519565	0.5676397	8.287282	1.770575	37.986774	4.401421	78.24374	26.730867	1.0008516	1.164671	6.880204	-12.947979	-432.95056	515.3087	502.6213	0.06224538	0.019836046	-0.00061304105	-0.0050232606	0.9964366	-59.285297	2.6111681	13.64206	-1.0008516	0.29113054	343.79263	1689.9536221027374
6	2563.0857	50.50998	2686.0544	2416.1406	2759088.2	35235.09	2815543.8	2690645.5	14.937995	2.2362685	23.021387	9.038164	12.560994	0.72986674	13.766475	11.427377	287.0	287.0	0.0	0.0	17055.018	0.08121436941964286	180001.0	515.4968	16.072233	605.38434	433.06216	515.4852	16.84097	607.01624	364.7219	4.997276	0.3203715	7.2666936	4.100824	2.8294604	0.46827286	5.6094513	1.0480297	27.904877	3.3042004	55.532864	19.929443	0.99913436	1.1489632	7.7638326	-13.699186	-407.97772	467.1103	459.82343	0.045243587	0.014888966	0.0011991721	0.033827864	1.0357519	-54.395428	2.8089328	16.614372	-0.99913424	0.30308223	344.62506	2034.5739388465881
7	2549.3333	57.298073	2655.6787	2409.9658	2686122.0	22392.682	2726589.5	2655414.8	13.079456	1.8796024	17.817291	9.121696	13.122118	0.86117315	14.818348	11.7828245	287.0	287.0	0.0	0.0	18427.586	0.07678160807291666	210001.0	510.16864	17.13085	592.48676	417.1691	510.16754	17.342686	610.6912	385.53503	4.5197268	0.22454311	6.538527	3.5418973	2.1940272	0.25882196	4.1402736	0.9160043	22.672386	1.9002286	44.918602	15.026207	1.0006571	1.1093948	7.26815	-12.824657	-396.30063	458.1364	456.5865	0.036621474	0.011851916	-0.00045236867	0.044675805	1.0467598	-51.978767	2.9742231	19.593437	-1.0006571	0.28853655	339.684	2374.243949651718
8	2511.467	52.828663	2638.1719	2393.1514	2589926.8	24580.184	2640398.5	2546159.0	12.123302	2.0271869	17.247057	8.330342	5.9786577	0.449274	6.7553954	5.3495603	287.0	287.0	0.0	0.0	19688.143	0.07291904658564814	240001.0	503.57852	18.367327	599.89636	383.19385	503.56888	18.841242	619.5913	338.3699	4.3187265	0.182493	6.0345535	3.1456628	2.0147266	0.24353762	2.6228313	1.0949329	20.69941	1.476099	38.15474	12.136322	0.9998443	1.0892787	5.4663935	-12.152599	-378.23737	454.26807	454.83746	0.03364509	0.011346812	0.00037992606	0.074488685	1.0782865	-54.29553	3.1163416	22.580187	-0.99984485	0.30244064	341.30234	2715.570141553879
9	2488.2725	47.401512	2627.0815	2357.48	2647349.5	39702.5	2713437.0	2587051.5	10.329733	1.3962852	14.305716	7.0320845	8.182178	0.84565866	9.490172	7.098477	287.0	287.0	0.0	0.0	20767.52	0.06922506510416666	270001.0	494.6062	18.6902	595.7576	362.13525	494.58994	18.999222	613.96704	302.9193	4.1518545	0.16223766	5.7293043	3.4290547	1.7694069	0.21976371	2.3923633	1.0261956	19.033634	1.2748443	34.686928	13.735584	1.0005816	1.0750177	6.5065837	-11.245309	-358.98914	436.1715	437.50232	0.031228801	0.011370443	-0.0004241708	0.08624181	1.0909666	-55.425037	3.2407398	25.567167	-1.0005814	0.30165195	342.2859	3057.8527715206146
10	2468.0344	50.3318	2600.0234	2351.5496	2611068.5	31251.633	2657946.0	2551759.0	9.574474	1.3514726	13.028425	6.5658417	6.788253	0.6806185	7.7951202	5.9731617	287.0	287.0	0.0	0.0	21769.115	0.06596701586174242	300001.0	482.25397	19.2173	600.8337	352.02878	482.23978	19.08511	606.21576	301.08347	4.0315895	0.152562	5.6614547	3.3040812	1.631305	0.20171027	2.1970046	0.92591304	17.908314	1.1838937	33.771896	12.635078	0.9999433	1.0478524	5.7166924	-12.473488	-335.7677	416.14966	426.54355	0.029437333	0.010958578	0.00024000225	0.06979844	1.0733573	-57.27368	3.351391	28.55543	-0.99994344	0.28093505	343.3967	3401.2614362239838
