[train] t=  1000 | LossPi=-12.4760 | PiEntropy=-1.9633 | Alpha= 0.8472 | PiEntTerm= 1.6633 | MinQ= 16.5152 | PiCostTerm= 2.3759 | QcPiCVaR= 3.3514 | QcPi= 1.9128 | QcPiRaw= 1.7484 | QcPiVar= 3.3023 | QcPiM2= 7.0066| BatchCostMean= 0.1873 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4727 | Beta= 0.7089
[train] t=  2000 | LossPi=-37.9161 | PiEntropy=-1.7576 | Alpha= 1.3705 | PiEntTerm= 2.4088 | MinQ= 43.3132 | PiCostTerm= 2.9883 | QcPiCVaR= 3.8986 | QcPi= 2.4734 | QcPiRaw= 2.3827 | QcPiVar= 3.2151 | QcPiM2= 9.3910| BatchCostMean= 0.1806 | BatchCostMax= 0.8083 | BatchCostNZ= 0.4531 | Beta= 0.7665
[train] t=  3000 | LossPi=-73.9454 | PiEntropy=-0.9086 | Alpha= 1.0205 | PiEntTerm= 0.9273 | MinQ= 78.9873 | PiCostTerm= 4.1145 | QcPiCVaR= 4.9003 | QcPi= 3.4433 | QcPiRaw= 3.4097 | QcPiVar= 3.3583 | QcPiM2= 15.2824| BatchCostMean= 0.1357 | BatchCostMax= 0.9539 | BatchCostNZ= 0.4062 | Beta= 0.8396
[train] t=  4000 | LossPi=-105.8895 | PiEntropy=-1.3638 | Alpha= 0.9917 | PiEntTerm= 1.3524 | MinQ= 112.1391 | PiCostTerm= 4.8971 | QcPiCVaR= 5.3493 | QcPi= 3.8842 | QcPiRaw= 3.8620 | QcPiVar= 3.3882 | QcPiM2= 18.6144| BatchCostMean= 0.1563 | BatchCostMax= 0.6621 | BatchCostNZ= 0.4688 | Beta= 0.9155
[train] t=  5000 | LossPi=-136.7567 | PiEntropy=-0.6830 | Alpha= 1.0462 | PiEntTerm= 0.7145 | MinQ= 143.0122 | PiCostTerm= 5.5410 | QcPiCVaR= 5.5853 | QcPi= 4.0977 | QcPiRaw= 4.0778 | QcPiVar= 3.4882 | QcPiM2= 20.6739| BatchCostMean= 0.1516 | BatchCostMax= 0.7404 | BatchCostNZ= 0.4453 | Beta= 0.9921
[train] t=  6000 | LossPi=-164.3878 | PiEntropy=-0.8499 | Alpha= 1.0300 | PiEntTerm= 0.8753 | MinQ= 171.7503 | PiCostTerm= 6.4872 | QcPiCVaR= 6.0677 | QcPi= 4.5363 | QcPiRaw= 4.5232 | QcPiVar= 3.6919 | QcPiM2= 24.7367| BatchCostMean= 0.1516 | BatchCostMax= 0.6382 | BatchCostNZ= 0.4688 | Beta= 1.0691
[train] t=  7000 | LossPi=-190.5794 | PiEntropy=-0.8597 | Alpha= 1.0311 | PiEntTerm= 0.8865 | MinQ= 198.8017 | PiCostTerm= 7.3358 | QcPiCVaR= 6.3931 | QcPi= 4.7721 | QcPiRaw= 4.7618 | QcPiVar= 4.1334 | QcPiM2= 27.4005| BatchCostMean= 0.1374 | BatchCostMax= 0.7059 | BatchCostNZ= 0.4258 | Beta= 1.1475
[train] t=  8000 | LossPi=-210.3524 | PiEntropy=-0.8733 | Alpha= 1.0302 | PiEntTerm= 0.8997 | MinQ= 219.7598 | PiCostTerm= 8.5076 | QcPiCVaR= 6.9328 | QcPi= 5.2250 | QcPiRaw= 5.2181 | QcPiVar= 4.5865 | QcPiM2= 32.5397| BatchCostMean= 0.1623 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4805 | Beta= 1.2272
[train] t=  9000 | LossPi=-235.5955 | PiEntropy=-1.2071 | Alpha= 0.9541 | PiEntTerm= 1.1517 | MinQ= 246.3750 | PiCostTerm= 9.6278 | QcPiCVaR= 7.3609 | QcPi= 5.5900 | QcPiRaw= 5.5849 | QcPiVar= 4.9298 | QcPiM2= 36.9581| BatchCostMean= 0.1521 | BatchCostMax= 0.7164 | BatchCostNZ= 0.4688 | Beta= 1.3080
[train] t= 10000 | LossPi=-250.5228 | PiEntropy=-0.9616 | Alpha= 0.9934 | PiEntTerm= 0.9553 | MinQ= 262.3740 | PiCostTerm= 10.8959 | QcPiCVaR= 7.8379 | QcPi= 5.9514 | QcPiRaw= 5.9478 | QcPiVar= 5.5941 | QcPiM2= 41.8261| BatchCostMean= 0.1600 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4922 | Beta= 1.3901
[train] t= 11000 | LossPi=-267.5634 | PiEntropy=-0.9089 | Alpha= 1.1214 | PiEntTerm= 1.0193 | MinQ= 280.7841 | PiCostTerm= 12.2015 | QcPiCVaR= 8.2800 | QcPi= 6.2972 | QcPiRaw= 6.2945 | QcPiVar= 6.1807 | QcPiM2= 46.7381| BatchCostMean= 0.1564 | BatchCostMax= 0.7773 | BatchCostNZ= 0.4648 | Beta= 1.4736
