Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2230.3462	369.72668	2990.3264	1054.8824	2541185.0	383989.06	3205648.8	2097658.0	48.390427	11.4347	78.49738	21.456572	44.89001	9.322684	55.465984	28.308128	288.0	288.0	0.0	0.0	5042.7114	0.0840451904296875	30001.0	315.49948	158.5697	736.3915	-9.292677	315.51758	158.53352	736.20215	-8.011638	9.0710335	3.176878	15.994992	0.4384607	1.1409975	1.8072423	22.612839	-12.152247	-302.0333	49.093735	49.281734	0.07408638	-0.097846866	-0.25570193	0.77781004	-5.2819304	0.07842509	1.2180102	-1.1409976	0.32457948	231.19499	231.48714971542358
2	2248.5547	333.37848	3082.9631	1905.3582	2160833.0	69940.95	2236776.5	2015994.6	44.506466	8.065342	57.648052	24.904947	47.478966	2.1971653	53.367977	45.17926	288.0	288.0	0.0	0.0	9668.365	0.10742628038194445	60001.0	594.33575	60.126583	885.7484	428.08704	594.33624	60.120735	887.07605	429.77972	14.1591015	1.4414555	17.891447	5.5872235	0.99958724	1.1872859	5.5269074	-12.731112	-538.2197	62.58672	62.415733	0.050851014	0.0005821669	-0.16772272	0.8461211	-31.767609	1.3219272	3.8478603	-0.9995864	0.3381722	232.53027	464.04464983940125
3	2308.5938	358.65027	3015.773	1904.8363	2306171.5	354138.34	3078701.0	2066499.2	36.19532	7.6525636	51.12129	17.158699	29.728058	2.5010977	33.14763	24.862856	288.0	288.0	0.0	0.0	13440.768	0.112006396484375	90001.0	655.5772	55.489	922.3078	544.7379	655.57935	55.46316	919.21906	544.6992	14.148253	1.3308882	17.482037	7.3082676	1.0010087	1.1110529	5.382443	-13.3736725	-558.27295	70.266106	70.139984	0.03318482	-0.0007231919	-0.12343698	0.8845918	-54.94659	1.9122144	6.8226886	-1.0010083	0.32205343	232.6743	696.7186262607574
4	2213.1157	363.20636	2969.179	1828.2107	2354395.0	373295.97	2988825.5	1991956.8	28.510479	4.2676563	38.015945	19.833334	38.274693	3.3976142	41.221107	32.680187	288.0	288.0	0.0	0.0	16409.623	0.10939748697916667	120001.0	652.5673	57.804337	918.4284	538.4033	652.5699	57.77214	915.9671	541.4707	11.633696	1.1325358	14.710091	6.3968363	1.0000032	1.0736318	12.97867	-11.334554	-538.2128	77.71901	77.60542	0.017260095	0.00017882456	-0.047513746	0.954026	-54.07865	2.2769194	9.783979	-1.0000031	8.451658	240.70276	937.4308097362518
5	2116.22	315.06042	2970.4634	1810.2246	2146507.8	145524.17	2545206.5	2013942.1	24.31623	3.315466	32.27099	16.367235	29.855	2.0873485	32.180943	24.539618	288.0	288.0	0.0	0.0	18934.701	0.10519278428819444	150001.0	636.1998	57.544697	905.20624	521.8308	636.20166	57.522465	903.5848	523.1108	9.559397	0.8222771	11.927808	5.4529576	1.0004871	1.0479567	11.500904	-11.294472	-513.82526	78.86891	78.7523	0.011340148	-0.00032820625	-0.006314017	0.9942133	-44.280502	2.5422776	12.737125	-1.0004878	0.30642653	257.84735	1195.2857537269592
6	2124.1648	340.9409	2966.4436	1759.212	2262916.8	359396.5	2963119.8	1891002.8	20.375204	2.7207448	26.701048	12.787243	12.747411	1.4901526	14.905529	10.2271595	288.0	288.0	0.0	0.0	21059.305	0.10028240327380952	180001.0	614.93695	56.453423	888.25336	502.2795	614.9382	56.433064	885.0201	503.2619	8.116972	0.6189115	9.944646	5.0246797	1.0003844	1.0348955	4.4743524	-13.367468	-486.93945	78.0032	77.88922	0.008268931	-0.0002714979	0.059511036	1.0617853	-32.074066	2.7511415	15.683456	-1.0003836	18.963516	281.9655	1477.255056142807
7	2151.712	377.65887	2896.0298	1712.4646	2213239.0	403944.72	3034917.2	1944239.6	17.33532	2.4860938	24.56217	10.581094	14.375424	1.8298817	16.604881	11.541163	288.0	288.0	0.0	0.0	22862.844	0.09526184895833334	210001.0	595.531	56.5672	871.6648	480.48102	595.533	56.550762	866.3102	488.43152	6.9042106	0.49717698	8.53152	4.4152374	1.0001801	1.025616	4.08589	-13.381643	-466.4758	78.19111	78.078384	0.006157495	-6.778164e-05	0.12676114	1.135507	-15.576061	2.9216084	18.589556	-1.0001802	0.30903482	245.65405	1722.9110765457153
8	2098.4922	376.1448	2920.2515	1653.1227	1969102.0	87638.85	2081363.6	1772094.8	15.44011	1.9918102	20.585094	10.492008	12.4119425	1.1317155	13.807838	10.16525	288.0	288.0	0.0	0.0	24472.092	0.09063737702546296	240001.0	580.77655	56.779686	856.9366	474.59897	580.77734	56.76952	855.1298	475.49127	6.078475	0.3605985	7.8213525	4.2132416	1.0000843	1.023183	4.315119	-14.6554	-454.93207	78.26072	78.12466	0.005151734	3.876358e-05	0.1614699	1.1754785	-0.5686225	3.0226479	20.55013	-1.0000845	0.315619	259.39496	1982.3131382465363
9	2128.924	380.79172	2949.7422	1701.8878	2402148.2	358594.94	3074678.8	2011993.8	16.887234	2.2519522	22.824808	10.927402	15.076569	2.0465956	19.261847	12.585044	288.0	288.0	0.0	0.0	26234.72	0.08744906901041667	270001.0	581.7835	56.955635	863.72253	471.28958	581.7846	56.942425	865.6014	476.41367	5.9879165	0.3171067	7.616561	4.1467967	1.0001342	1.0292336	4.546386	-11.446006	-469.5207	78.65365	78.58808	0.00516882	-1.9513162e-05	0.1309657	1.1402141	1.0147831	2.9218354	18.581678	-1.0001342	15.861316	274.94867	2257.2632687091827
10	2084.4285	357.95218	2922.963	1757.4465	2248996.0	332517.88	2921772.5	1951515.2	16.561821	2.1003587	20.943901	11.185753	16.091467	0.99728733	17.671898	14.778744	288.0	288.0	0.0	0.0	27960.785	0.08472965198863637	300001.0	585.26636	57.161964	871.25793	478.77875	585.2678	57.15378	868.7866	479.01837	6.04134	0.30873176	7.7366066	4.287674	0.99985653	1.029624	4.3702726	-12.156784	-469.1065	79.23122	79.17545	0.0051690117	0.00029742	0.1316653	1.1410638	-0.06212393	2.9471443	19.054874	-0.99985677	0.31827855	245.11623	2502.3745670318604
