[train] t=  1000 | LossPi=-11.6539 | PiEntropy=-1.3108 | Alpha= 0.8399 | MinQ= 14.5513 | QcPi= 2.6878| BatchCostMean= 0.2320 | BatchCostMax= 0.9425 | BatchCostNZ= 0.4492| WinRewMean= 4223.7316 | WinCostMean= 0.2210 | Beta= 0.6684
[train] t=  2000 | LossPi=-43.0218 | PiEntropy=-0.9782 | Alpha= 0.6845 | MinQ= 45.7954 | QcPi= 3.3693| BatchCostMean= 0.2560 | BatchCostMax= 0.9328 | BatchCostNZ= 0.5664| WinRewMean= 7164.5332 | WinCostMean= 0.2118 | Beta= 0.6245
[train] t=  3000 | LossPi=-72.9667 | PiEntropy=-0.7933 | Alpha= 0.6368 | MinQ= 75.8069 | QcPi= 3.9611| BatchCostMean= 0.2182 | BatchCostMax= 0.7693 | BatchCostNZ= 0.4688| WinRewMean= 7710.3753 | WinCostMean= 0.1946 | Beta= 0.5895
[train] t=  4000 | LossPi=-99.5188 | PiEntropy=-0.8245 | Alpha= 0.6733 | MinQ= 103.0759 | QcPi= 5.3451| BatchCostMean= 0.2362 | BatchCostMax= 1.0000 | BatchCostNZ= 0.5195| WinRewMean= 7498.0943 | WinCostMean= 0.2015 | Beta= 0.5616
[train] t=  5000 | LossPi=-129.9003 | PiEntropy=-1.1919 | Alpha= 0.6639 | MinQ= 133.6361 | QcPi= 5.4378| BatchCostMean= 0.2066 | BatchCostMax= 0.7693 | BatchCostNZ= 0.4766| WinRewMean= 6975.7495 | WinCostMean= 0.2041 | Beta= 0.5415
[train] t=  6000 | LossPi=-150.3924 | PiEntropy=-1.0424 | Alpha= 0.7465 | MinQ= 154.4489 | QcPi= 6.1268| BatchCostMean= 0.2271 | BatchCostMax= 0.9697 | BatchCostNZ= 0.5234| WinRewMean= 7987.6811 | WinCostMean= 0.1775 | Beta= 0.5351
[train] t=  7000 | LossPi=-178.2720 | PiEntropy=-0.9148 | Alpha= 0.7676 | MinQ= 182.6102 | QcPi= 6.5239| BatchCostMean= 0.1792 | BatchCostMax= 0.9412 | BatchCostNZ= 0.4336| WinRewMean= 8333.7496 | WinCostMean= 0.1607 | Beta= 0.5573
[train] t=  8000 | LossPi=-198.7933 | PiEntropy=-0.9531 | Alpha= 0.7506 | MinQ= 203.9075 | QcPi= 7.1746| BatchCostMean= 0.2000 | BatchCostMax= 0.8093 | BatchCostNZ= 0.4922| WinRewMean= 7862.8540 | WinCostMean= 0.1785 | Beta= 0.6131
[train] t=  9000 | LossPi=-217.4190 | PiEntropy=-0.9474 | Alpha= 0.7654 | MinQ= 223.3261 | QcPi= 7.6340| BatchCostMean= 0.1946 | BatchCostMax= 0.7693 | BatchCostNZ= 0.4570| WinRewMean= 8895.7035 | WinCostMean= 0.1371 | Beta= 0.6788
[train] t= 10000 | LossPi=-246.6974 | PiEntropy=-1.2645 | Alpha= 0.7127 | MinQ= 253.5405 | QcPi= 7.9802| BatchCostMean= 0.1847 | BatchCostMax= 0.9099 | BatchCostNZ= 0.4492| WinRewMean= 8788.7992 | WinCostMean= 0.1332 | Beta= 0.7446
[train] t= 11000 | LossPi=-262.0061 | PiEntropy=-0.8924 | Alpha= 0.7217 | MinQ= 269.5158 | QcPi= 8.4645| BatchCostMean= 0.1780 | BatchCostMax= 0.8780 | BatchCostNZ= 0.4688| WinRewMean= 7099.7384 | WinCostMean= 0.1913 | Beta= 0.8111
