Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2059.803	385.56168	2957.0005	1094.3004	2194458.8	440982.8	2984231.8	1789220.1	16.117807	5.2959704	58.99646	9.923011	11.889835	1.5194355	14.798427	9.575938	288.0	288.0	0.0	0.0	1677.6149	0.027960247802734376	30001.0	557.5715	50.435978	875.0091	456.83496	557.5623	50.441147	870.6212	443.20145	5.626214	0.2572333	6.613101	3.9873261	0.42532244	0.074494675	1.4631867	0.15553252	1.0009289	1.0191727	11.00091	-12.356211	-410.15747	69.82836	69.073814	0.004638552	0.0002395502	-0.0009462143	0.16158214	1.1771867	-3.8915088	3.1682167	23.781885	-1.000929	0.31037378	139.20454	139.66742944717407
2	1986.0522	324.94305	2869.9705	1633.924	2169733.0	346007.53	2960607.5	1831290.0	13.198482	1.8487176	18.115042	7.9201913	11.989982	2.0356612	14.805834	8.521848	288.0	288.0	0.0	0.0	3055.3672	0.033948524305555554	60001.0	550.0133	49.771294	811.24207	450.3898	550.0126	49.782276	818.53766	442.61102	5.325066	0.22194165	6.7674885	4.0310197	0.38950124	0.062110897	1.0587407	0.25524643	0.9997216	1.0206797	4.5974126	-11.900165	-403.73492	69.56944	69.37728	0.0040833815	0.00018131045	0.00050146115	0.2000847	1.2223094	0.032763936	3.2123244	24.84483	-0.999721	0.3025608	140.1829	279.89015674591064
3	2122.532	392.99658	2978.4355	1617.1412	2238290.0	369083.12	3002394.5	1909682.8	14.50598	2.067486	20.146591	9.679225	16.164272	1.8208178	18.661964	13.361107	288.0	288.0	0.0	0.0	4564.8667	0.03804055582682292	90001.0	552.0575	50.120598	830.695	448.9797	552.05707	50.127815	827.45776	452.3448	5.3192325	0.211693	6.7463317	3.995115	0.39781025	0.049303208	0.8165912	0.21824165	0.9999568	1.0219265	4.004803	-12.401489	-420.1974	67.02648	66.89625	0.004294574	0.00018598064	0.00020750852	0.15849574	1.1722281	0.1756554	3.1080468	22.385607	-0.9999569	0.28540206	140.1909	420.0765187740326
4	2062.7834	364.58987	2926.0083	1694.7772	2180711.0	450771.25	2952962.2	1799064.6	14.546459	1.7325922	19.958876	11.27146	10.520916	1.1918294	12.423704	8.521058	288.0	288.0	0.0	0.0	6080.0044	0.04053336263020833	120001.0	562.7316	50.6702	838.635	459.12503	562.731	50.680943	835.0296	462.04642	5.438139	0.20646411	6.604711	4.1078205	0.41026846	0.05722187	0.84877783	0.33370358	0.9998836	1.0275735	3.8752258	-10.965675	-423.20056	69.185814	68.999374	0.004305671	0.0001984099	0.00029356708	0.14469407	1.1563166	-0.23734264	3.1435974	23.194626	-0.99988437	0.31364274	140.18472	560.2715044021606
5	2024.6394	326.41626	2879.9985	1684.9858	2060773.2	346859.78	3069159.5	1878362.4	14.5038805	1.8787969	18.71628	9.640006	13.98833	1.3106589	15.439245	10.815793	288.0	288.0	0.0	0.0	7591.4004	0.04217444661458333	150001.0	563.1889	50.413654	838.3162	463.3916	563.18854	50.42358	836.0104	464.6772	5.3895183	0.19479977	6.493794	4.0997486	0.39828086	0.05292381	0.81676036	0.33313182	1.0000188	1.0359687	3.4482725	-11.37257	-426.67255	69.28589	69.12543	0.004244092	0.00019159	0.00013943267	0.14647578	1.1582519	0.04646529	3.131087	22.902166	-1.0000188	0.29167962	140.11519	700.3883903026581
6	2111.4038	392.92245	2922.4668	1648.321	2406587.0	479326.0	3099517.0	1863196.1	13.99084	2.0681145	19.23799	8.166808	13.391733	1.6163487	15.946928	10.561227	288.0	288.0	0.0	0.0	9048.064	0.04308602120535714	180001.0	565.912	51.64236	843.53345	466.40274	565.911	51.6517	840.02826	466.84454	5.4157276	0.20010072	6.5779085	4.12763	0.39636725	0.056179736	0.8079189	0.33718827	1.000227	1.0308648	3.6102033	-13.077442	-428.87567	70.64333	70.45973	0.0041885353	0.00019431603	-0.00012183851	0.14914612	1.1612523	-0.00585812	3.1306996	22.890615	-1.0002272	0.3239634	140.31487	840.7204184532166
7	2127.8423	388.69885	2942.3604	1711.8026	2260278.8	416266.5	3068610.5	1856849.4	14.2512045	1.9689381	18.84486	9.759673	15.307933	0.9029411	16.937641	13.777576	288.0	288.0	0.0	0.0	10532.02	0.043883414713541666	210001.0	568.0167	53.18229	845.99927	466.66562	568.01605	53.195614	845.4194	466.75204	5.4249086	0.2072525	6.632963	4.111072	0.3965039	0.058731154	0.9221762	0.33345225	1.0000484	1.0331151	4.166312	-11.494697	-428.78574	74.0646	73.80324	0.0042479928	0.00021186816	0.00010679876	0.13582	1.1461626	-0.025260359	3.145223	23.225538	-1.0000496	0.28861737	140.21866	980.9467136859894
8	2084.1248	375.7375	2962.9468	1676.574	2227104.8	391980.6	3018936.8	1868598.0	14.426316	1.9873401	19.026085	10.343293	15.101128	1.5482754	17.355438	12.6198	288.0	288.0	0.0	0.0	12035.994	0.04457775607638889	240001.0	569.88885	55.22697	849.88696	467.71616	569.888	55.245438	855.6043	468.12854	5.421658	0.21138707	6.5037546	4.1112695	0.3985959	0.059621077	0.8313609	0.33968568	1.0000161	1.027747	4.95863	-13.745443	-431.37436	76.337814	76.016556	0.0042367987	0.00021294833	0.00013421202	0.16257267	1.1771172	0.0006079503	3.1400065	23.104242	-1.0000166	0.31078506	140.34625	1121.2805397510529
9	2057.4724	354.02362	2929.198	1648.443	2130757.2	309044.5	2962999.8	1896031.4	14.146332	2.1230526	19.283306	8.420604	15.840228	2.2845962	19.864712	11.803702	288.0	288.0	0.0	0.0	13508.07	0.045026901041666664	270001.0	568.72546	55.65503	853.22046	466.078	568.724	55.672306	852.4979	468.25934	5.4164357	0.21338183	6.4337897	4.1130037	0.39939323	0.059434384	0.7854388	0.3259655	0.9997924	1.0306784	7.2161164	-11.402434	-431.32132	76.89929	76.512566	0.0042734537	0.00021907632	0.00038581903	0.15094076	1.1633979	0.025347538	3.1325798	22.933706	-0.9997919	0.28701782	140.2977	1261.5803360939026
10	2006.788	321.18616	2894.4185	1701.2169	2219651.5	343882.94	2946518.5	1936321.6	14.332	1.928441	19.020952	10.098017	14.381061	2.0300598	16.942066	9.482593	288.0	288.0	0.0	0.0	15000.663	0.04545655480587121	300001.0	568.59326	55.12475	848.724	465.89838	568.59247	55.13825	854.9755	466.07245	5.4225516	0.21292235	6.455659	4.116926	0.40369755	0.06038368	0.8155087	0.33293736	1.0000008	1.0308803	3.5955234	-12.132094	-432.73325	76.03629	75.65265	0.004300318	0.00021646598	0.0001589596	0.14637107	1.1581264	-0.020556316	3.1196647	22.639286	-1.0000015	0.29247952	141.10178	1402.6664123535156
