[train] t=   100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0213 | QcPi= 0.0213 | QcPiVar=0.0000| BatchCostMean= 0.0213 | BatchCostMax= 0.3834 | BatchCostNZ= 0.1100| WinRewMean= 1936.2569 | WinCostMean= 0.0213
[train] t=  1100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0152 | QcPi= 0.0152 | QcPiVar=0.0000| BatchCostMean= 0.0152 | BatchCostMax= 0.9122 | BatchCostNZ= 0.0980| WinRewMean= 3517.9455 | WinCostMean= 0.0152
[train] t=  2100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0087 | QcPi= 0.0087 | QcPiVar=0.0000| BatchCostMean= 0.0087 | BatchCostMax= 0.8341 | BatchCostNZ= 0.0630| WinRewMean= 3809.8410 | WinCostMean= 0.0087
[train] t=  3100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0251 | QcPi= 0.0251 | QcPiVar=0.0000| BatchCostMean= 0.0251 | BatchCostMax= 0.8367 | BatchCostNZ= 0.1720| WinRewMean= 4947.4971 | WinCostMean= 0.0251
[train] t=  4100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0157 | QcPi= 0.0157 | QcPiVar=0.0000| BatchCostMean= 0.0157 | BatchCostMax= 0.7479 | BatchCostNZ= 0.1080| WinRewMean= 3867.5612 | WinCostMean= 0.0157
[train] t=  5100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0212 | QcPi= 0.0212 | QcPiVar=0.0000| BatchCostMean= 0.0212 | BatchCostMax= 0.7980 | BatchCostNZ= 0.1390| WinRewMean= 3933.2813 | WinCostMean= 0.0212
[train] t=  6100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0218 | QcPi= 0.0218 | QcPiVar=0.0000| BatchCostMean= 0.0218 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1290| WinRewMean= 3670.4999 | WinCostMean= 0.0218
[train] t=  7100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0204 | QcPi= 0.0204 | QcPiVar=0.0000| BatchCostMean= 0.0204 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1290| WinRewMean= 4067.7737 | WinCostMean= 0.0204
[train] t=  8100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0200 | QcPi= 0.0200 | QcPiVar=0.0000| BatchCostMean= 0.0200 | BatchCostMax= 0.7147 | BatchCostNZ= 0.1370| WinRewMean= 4122.6128 | WinCostMean= 0.0200
[train] t=  9100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0152 | QcPi= 0.0152 | QcPiVar=0.0000| BatchCostMean= 0.0152 | BatchCostMax= 0.7845 | BatchCostNZ= 0.1030| WinRewMean= 3996.4123 | WinCostMean= 0.0152
[train] t= 10100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0180 | QcPi= 0.0180 | QcPiVar=0.0000| BatchCostMean= 0.0180 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1370| WinRewMean= 5012.1229 | WinCostMean= 0.0180
