Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	QcPi	QcPiRaw	QcPiVar	QcPiCVaR	PiEntTerm	PiQTerm	PiCostTerm	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2211.0818	359.645	3060.2595	757.47614	2469198.5	415960.34	3155785.5	2106899.5	50.717667	8.622604	66.23852	26.196764	48.95649	10.790904	57.491127	30.444984	288.0	288.0	0.0	0.0	5282.54	0.088042333984375	30001.0	307.944	152.79396	709.53674	-8.488706	307.90884	152.8655	709.477	-11.232148	9.225653	3.6341257	16.252413	0.009480694	1.9157847	1.1071212	15.0543995	0.00028625634	1.1143951	1.8800107	34.344994	-13.628824	-293.007	45.170166	44.811726	0.062346958	0.007712144	-0.079935126	-0.20822982	0.8190673	9.219021	9.192894	1.9159272	9.476909	0.89900243	307.84113	13.935116	-6.406549	0.11652231	1.2660476	-1.114395	0.99450827	433.3621	434.52779150009155
2	2282.85	332.213	3004.6125	1913.5968	2341102.5	253213.94	3038605.2	2076357.4	43.81096	7.8522224	55.895493	24.274424	47.742687	4.6897798	51.71257	34.2235	288.0	288.0	0.0	0.0	9842.953	0.10936614583333333	60001.0	588.16266	60.85677	872.14465	422.8615	588.163	60.84998	869.1541	420.43005	14.39546	1.9723383	17.319735	1.0660666	4.8019166	5.6997	60.740643	2.0150747	1.0002387	1.2014576	6.340651	-13.361121	-528.56	62.628696	62.394154	0.0772652	0.016683206	1.404523e-05	-0.15512753	0.85666734	14.378174	14.377553	4.802214	14.7816	0.8566533	587.5452	58.12855	-34.645725	1.3418912	3.9211051	-1.0002394	0.9620652	443.34073	877.7926709651947
3	2245.7136	339.51785	3064.8157	1842.0939	2199164.0	108246.17	2497523.8	2107650.8	37.567554	6.5402575	48.111958	20.890575	42.444397	3.4399137	46.981327	33.261677	288.0	288.0	0.0	0.0	13751.221	0.114593505859375	90001.0	649.6118	51.163708	901.0582	537.19745	649.61346	51.14005	898.7061	538.1429	13.893417	1.4721239	16.561724	2.4612389	3.640231	5.3327684	55.50923	1.2303299	0.9999732	1.1363574	7.6745424	-12.798948	-550.51526	67.51832	67.25469	0.04223999	0.010384491	0.00021043644	-0.17472039	0.8399754	13.863818	13.863718	3.6407712	14.207146	0.83976495	648.9131	97.558014	-56.219578	1.922274	6.890754	-0.9999723	1.1591954	488.19446	1366.0911915302277
4	2246.5706	377.3629	3020.4595	1864.3234	2177829.5	151183.73	2427053.8	2003489.0	30.681303	5.363137	42.766743	18.153427	21.782822	2.994126	25.331059	15.415644	288.0	288.0	0.0	0.0	16941.025	0.11294016927083333	120001.0	654.3441	53.479607	909.4105	546.046	654.3477	53.43118	906.5935	545.98584	12.158121	1.1457394	14.855694	5.550783	1.8474193	2.12143	18.718266	0.8770036	1.0007001	1.0785137	5.6519885	-12.217125	-531.2614	72.22176	72.069916	0.021518838	0.0048770797	-0.0004357644	-0.14186093	0.8683908	12.117468	12.117437	1.8479623	12.367469	0.86882657	653.6169	121.48669	-62.300114	2.285137	9.864421	-1.0007004	1.1270192	514.6597	1880.7758631706238
5	2201.8845	359.17273	2984.479	1794.1715	2037152.8	69108.914	2169912.5	1917880.4	24.951872	3.9527175	35.716835	17.1741	21.30809	1.2078006	23.145723	18.591766	288.0	288.0	0.0	0.0	19536.2	0.10853444010416667	150001.0	639.9109	54.447174	900.0421	531.5155	639.9157	54.396503	896.82996	529.5213	10.190706	0.9278906	12.911041	5.727417	1.1863939	1.2889026	11.47318	0.6160636	0.99996865	1.0539138	5.119028	-12.614378	-506.04346	74.06484	73.96457	0.0132781295	0.0025935816	0.00021229264	-0.06375754	0.9386658	10.14186	10.14175	1.1867135	10.343272	0.93845356	639.16565	132.18376	-55.226715	2.5492673	12.8261795	-0.999969	1.1913543	511.46884	2392.21674990654
6	2116.4895	331.217	2934.3691	1776.3784	2134984.0	86194.836	2327400.2	2027817.6	20.819578	3.505557	28.607105	12.2254505	23.930342	2.0217125	26.62362	19.957542	288.0	288.0	0.0	0.0	21710.002	0.10338096168154762	180001.0	618.04175	54.525593	878.2855	508.52884	618.04767	54.4621	874.58167	508.02417	8.40304	0.7064079	10.859165	5.104179	0.8655428	0.82586205	8.37158	0.46117717	1.0003556	1.0357244	4.6526256	-14.213207	-482.18286	74.530685	74.45186	0.0089626545	0.0013377364	-0.00017028586	0.013777393	1.014375	8.349898	8.349551	0.86581725	8.523781	1.0145453	617.2438	134.04634	-39.44956	2.7567482	15.771383	-1.000355	1.1150701	515.05554	2907.2939310073853
7	2125.134	350.39835	2896.1426	1762.8326	2225290.5	383257.2	2854456.2	1886536.4	18.349049	2.938155	24.117346	10.081214	13.854967	1.0920935	15.918367	12.373747	288.0	288.0	0.0	0.0	23621.148	0.09842145182291667	210001.0	599.40515	53.345695	858.16925	491.95444	599.4114	53.275047	852.3417	493.3404	7.1990347	0.5219691	8.892682	4.5402775	0.65056306	0.36303672	3.7526822	0.46501353	1.000528	1.0325103	5.488042	-13.901727	-461.21133	72.79895	72.77515	0.006804184	0.00069804944	-0.00039747398	0.05938894	1.0617206	7.145978	7.1450114	0.6506618	7.3003464	1.062118	598.5844	136.31094	-24.420984	2.927776	18.705103	-1.0005276	1.3342822	547.06146	3454.441494703293
8	2014.6906	305.1753	2823.0159	1744.7914	2233622.5	203787.38	2603856.8	1972334.4	15.913668	2.4616184	22.210049	10.800874	15.918955	1.6725203	17.59706	12.862095	288.0	288.0	0.0	0.0	25277.104	0.09361890190972222	240001.0	581.50244	53.087124	840.89294	474.16934	581.5103	53.001846	834.2101	474.605	6.259773	0.4374835	7.771281	4.310091	0.55418366	0.19530785	2.3318024	0.4526332	1.0002216	1.0244026	6.4409704	-11.948215	-442.93988	71.38527	71.45704	0.00564095	0.00039761318	-9.636968e-05	0.109788574	1.1164972	6.204917	6.202637	0.5542493	6.3487835	1.1165935	580.58453	136.52809	-7.841364	3.0690472	21.53463	-1.0002214	1.1271944	522.68396	3977.0411229133606
9	2054.94	324.6211	2832.057	1620.8324	2257976.5	402659.47	2922523.0	1846855.8	15.139195	2.0971496	20.276352	10.406465	15.476422	1.5747547	17.989826	11.964123	288.0	288.0	0.0	0.0	26852.797	0.08950932291666666	270001.0	565.34656	52.109974	819.3266	466.4766	565.3531	52.03773	814.0035	465.28818	5.7018876	0.2824441	7.022253	4.1326003	0.4699125	0.08815191	1.2506965	0.4289817	0.99985737	1.0405686	4.61828	-10.701255	-440.8108	71.28853	71.41114	0.004879127	0.00024323222	0.00030884863	0.12838262	1.13727	5.6516695	5.6479874	0.46990156	5.784927	1.1369611	564.4323	122.48456	0.5049393	3.0518343	21.170008	-0.9998573	1.250484	523.9073	4500.886265516281
10	2113.406	334.0375	2825.5198	1721.3109	2280461.8	311933.03	2974477.8	2043095.1	16.11912	2.4902184	21.169767	10.389254	18.569492	1.8142446	21.757397	16.571762	288.0	288.0	0.0	0.0	28534.035	0.08646677320075757	300001.0	571.3	53.32575	832.3017	462.20413	571.3063	53.261723	827.87726	467.56943	5.850245	0.29992768	6.904592	4.186213	0.471268	0.099342674	1.1647246	0.2749321	1.000241	1.0501746	7.664392	-11.90531	-453.26343	73.1283	73.28041	0.0051001287	0.00030131446	-0.0001017889	0.09513434	1.1001067	5.808757	5.805572	0.47122547	5.942106	1.1002086	570.501	116.137375	-0.08609363	2.9725158	19.544418	-1.0002408	1.1510124	534.9811	5036.007417917252
