[train] t=  1000 | LossPi=-14.7269 | PiEntropy=-0.5823 | Alpha= 0.5655 | MinQ= 16.5169 | QcPiCVaR= 2.1809 | QcPi= 2.0613 | QcPiVar= 0.3786| BatchCostMean= 0.1874 | BatchCostMax= 0.9146 | BatchCostNZ= 0.4141| WinRewMean= 4249.1438 | WinCostMean= 0.1751 | Beta= 0.6698
[train] t=  2000 | LossPi=-45.1163 | PiEntropy=-1.1535 | Alpha= 0.5424 | MinQ= 47.5653 | QcPiCVaR= 2.8964 | QcPi= 2.7819 | QcPiVar= 0.3471| BatchCostMean= 0.1923 | BatchCostMax= 0.9146 | BatchCostNZ= 0.4375| WinRewMean= 7612.7616 | WinCostMean= 0.1955 | Beta= 0.6295
[train] t=  3000 | LossPi=-74.4094 | PiEntropy=-1.3266 | Alpha= 0.6595 | MinQ= 77.4906 | QcPiCVaR= 3.7017 | QcPi= 3.5678 | QcPiVar= 0.4723| BatchCostMean= 0.1720 | BatchCostMax= 0.7481 | BatchCostNZ= 0.4102| WinRewMean= 7197.5842 | WinCostMean= 0.2189 | Beta= 0.5960
[train] t=  4000 | LossPi=-100.7112 | PiEntropy=-1.1618 | Alpha= 0.6649 | MinQ= 104.1104 | QcPiCVaR= 4.5957 | QcPi= 4.4506 | QcPiVar= 0.5545| BatchCostMean= 0.1986 | BatchCostMax= 0.8673 | BatchCostNZ= 0.4648| WinRewMean= 7558.6530 | WinCostMean= 0.2022 | Beta= 0.5716
[train] t=  5000 | LossPi=-131.6402 | PiEntropy=-1.2253 | Alpha= 0.7056 | MinQ= 135.3086 | QcPiCVaR= 5.0309 | QcPi= 4.8579 | QcPiVar= 0.7866| BatchCostMean= 0.1990 | BatchCostMax= 0.7912 | BatchCostNZ= 0.4609| WinRewMean= 7868.7051 | WinCostMean= 0.1825 | Beta= 0.5573
[train] t=  6000 | LossPi=-151.7452 | PiEntropy=-0.8824 | Alpha= 0.7414 | MinQ= 155.7166 | QcPiCVaR= 5.9692 | QcPi= 5.7779 | QcPiVar= 0.9638| BatchCostMean= 0.1896 | BatchCostMax= 0.9426 | BatchCostNZ= 0.4492| WinRewMean= 7128.3239 | WinCostMean= 0.1939 | Beta= 0.5557
[train] t=  7000 | LossPi=-177.0372 | PiEntropy=-1.0170 | Alpha= 0.7673 | MinQ= 181.5638 | QcPiCVaR= 6.4252 | QcPi= 6.2238 | QcPiVar= 1.0684| BatchCostMean= 0.1847 | BatchCostMax= 0.7706 | BatchCostNZ= 0.4648| WinRewMean= 7398.8294 | WinCostMean= 0.1885 | Beta= 0.5831
[train] t=  8000 | LossPi=-196.7920 | PiEntropy=-1.2244 | Alpha= 0.7824 | MinQ= 202.2912 | QcPiCVaR= 7.0289 | QcPi= 6.8142 | QcPiVar= 1.2140| BatchCostMean= 0.1764 | BatchCostMax= 0.7261 | BatchCostNZ= 0.4609| WinRewMean= 7898.3517 | WinCostMean= 0.1735 | Beta= 0.6461
[train] t=  9000 | LossPi=-216.8218 | PiEntropy=-1.1003 | Alpha= 0.7789 | MinQ= 223.2621 | QcPiCVaR= 7.7979 | QcPi= 7.5739 | QcPiVar= 1.3230| BatchCostMean= 0.1529 | BatchCostMax= 0.6724 | BatchCostNZ= 0.4102| WinRewMean= 7019.8638 | WinCostMean= 0.1926 | Beta= 0.7160
[train] t= 10000 | LossPi=-239.0453 | PiEntropy=-1.0006 | Alpha= 0.8472 | MinQ= 246.1519 | QcPiCVaR= 7.9663 | QcPi= 7.7319 | QcPiVar= 1.4491| BatchCostMean= 0.1790 | BatchCostMax= 0.9426 | BatchCostNZ= 0.4531| WinRewMean= 8730.1498 | WinCostMean= 0.1570 | Beta= 0.7857
[train] t= 11000 | LossPi=-256.5838 | PiEntropy=-0.8862 | Alpha= 0.8763 | MinQ= 264.7209 | QcPiCVaR= 8.6064 | QcPi= 8.3658 | QcPiVar= 1.5264| BatchCostMean= 0.1946 | BatchCostMax= 0.6692 | BatchCostNZ= 0.5078| WinRewMean= 7670.3801 | WinCostMean= 0.1723 | Beta= 0.8552
