Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	1873.1102	595.64453	2769.3362	473.50082	1608684.8	787812.44	2714419.2	544537.3	47.20289	16.01028	109.90534	15.385584	24.758593	14.339556	50.659042	8.690495	288.0	288.0	0.0	0.0	4914.1816	0.08190302734375	30001.0	288.47772	165.98895	907.3287	-2.3198326	288.52667	165.90526	908.4257	-3.2319677	10.146426	2.997606	23.306559	0.70574343	0.982495	1.2701055	18.652498	-12.555879	-269.53683	38.27202	38.24414	0.026772387	0.009151118	-0.583085	0.5617705	-10.055296	0.4125709	1.676937	-0.98249507	0.61872005	204.53607	204.93337106704712
2	1754.5754	641.969	2781.1438	318.60492	1740568.6	725466.94	2548052.2	459664.84	26.44296	7.949872	49.738194	15.870657	19.163754	10.401266	43.99941	8.723986	288.0	288.0	0.0	0.0	7665.8315	0.08517590603298611	60001.0	510.2506	170.91896	1071.0669	39.26553	510.24954	170.92195	1075.3302	37.73624	10.7003	2.4117134	23.749779	6.7197895	1.0010713	1.0999066	11.770569	-12.452709	-462.55142	89.9735	90.04542	0.021093199	-0.0004899993	-0.4526819	0.63681114	-24.541222	1.4729003	4.443722	-1.0010717	0.56597066	207.44908	412.3967113494873
3	1765.8077	555.6578	2645.9614	353.99313	2028294.2	594656.9	2808496.2	748485.0	19.595766	5.6864495	43.41745	11.785204	12.080626	1.6060627	14.605032	8.935002	288.0	288.0	0.0	0.0	9706.429	0.08088690592447917	90001.0	538.2506	187.00972	1090.0157	21.19683	538.24866	187.0157	1090.7003	20.966095	8.281287	1.8887811	17.067102	5.545327	1.0004092	1.0607566	4.3690896	-12.637314	-476.99286	100.4589	100.49153	0.01470016	-6.718933e-05	-0.32883498	0.7204927	-23.323322	1.9910496	7.3721986	-1.0004082	0.55568075	205.23393	617.634416103363
4	1718.5643	552.055	2646.2227	241.22108	1419004.1	843209.9	2772353.5	223657.66	15.891505	3.3409948	32.019043	9.426777	10.87554	2.6696527	16.27563	8.106767	288.0	288.0	0.0	0.0	11360.418	0.07573611979166667	120001.0	528.04065	187.54475	1079.9001	-10.240032	528.03864	187.55089	1077.9252	-11.861934	6.5935874	1.150724	12.404126	4.4384413	1.0006201	1.0398363	4.6013646	-10.955244	-459.69495	100.08427	100.11465	0.010543417	-0.00027674483	-0.2275604	0.7972418	-15.617147	2.3282566	10.294496	-1.00062	0.53995156	200.3202	817.961165189743
5	1629.3588	612.9171	2616.7915	177.22066	1455329.0	547528.0	2081756.4	122559.414	13.192493	3.2360578	24.886732	7.3400126	8.516569	3.2967749	14.575871	1.2350821	288.0	288.0	0.0	0.0	12728.312	0.070712841796875	150001.0	507.83524	186.43323	1048.728	-15.620993	507.82916	186.44945	1050.3274	-16.2975	5.5406485	0.63854265	9.422524	3.7342901	1.0004666	1.0481387	5.711047	-11.418271	-434.2993	98.21868	98.35017	0.007340233	-0.00019019941	-0.1412607	0.86886406	-6.31682	2.575501	13.162432	-1.0004659	0.5089898	200.74635	1018.7065451145172
6	1686.769	655.8489	2528.9358	127.79215	1627828.9	853258.2	2795242.5	269373.56	11.825939	2.4963574	19.83148	7.133364	11.903775	2.9918907	17.05428	5.9437895	288.0	288.0	0.0	0.0	13963.688	0.06649375465029762	180001.0	495.0891	190.62189	1004.545	-21.590837	495.08102	190.64113	1011.01715	-21.910309	5.0351524	0.34310624	6.6840434	3.2787154	1.000018	1.0539964	4.897064	-13.320597	-422.27127	95.43748	95.65064	0.0062127574	0.00015461244	-0.1342247	0.87490314	0.049028654	2.6588733	14.28463	-1.000018	0.5257156	204.24847	1222.9777438640594
7	1613.8589	597.95276	2590.4458	78.064896	1946594.4	435896.47	2785258.8	1285125.8	12.002148	2.5288808	19.950773	5.5980463	9.049057	2.595844	15.380047	4.4699106	288.0	288.0	0.0	0.0	15214.503	0.06339376220703125	210001.0	492.4797	189.72252	952.50256	-18.099684	492.4766	189.72871	955.10065	-18.423563	5.006962	0.34601858	6.990566	3.1432827	1.0000297	1.053489	4.661424	-12.301538	-425.06403	94.37845	94.50463	0.00632383	0.00016829475	-0.15481377	0.8570997	0.33116758	2.5857992	13.279148	-1.0000294	0.51780987	203.10558	1426.0841946601868
8	1777.7052	569.9614	2582.4949	75.27816	1933643.8	501600.53	2691806.8	1241325.1	12.583649	2.4682858	22.27221	5.995719	6.8989816	1.6753458	9.291038	4.5035925	288.0	288.0	0.0	0.0	16524.79	0.061202922453703706	240001.0	496.344	187.42969	921.6284	-9.18985	496.34366	187.42984	916.96094	-9.943889	5.0220723	0.36052877	7.2200146	3.3267086	1.0001942	1.0535097	4.516631	-13.974052	-433.10706	92.40408	92.46209	0.0066651646	5.0326093e-05	-0.20450869	0.81542635	0.055955116	2.5188422	12.415763	-1.0001941	0.54958797	215.06245	1641.1552331447601
9	1693.738	584.1916	2565.0166	130.30098	1933400.8	496279.84	2672626.2	1293048.9	12.4170265	2.4446661	21.94204	8.487353	9.192059	2.16212	12.887265	5.3330235	288.0	288.0	0.0	0.0	17817.36	0.059391197916666666	270001.0	500.11932	184.86674	909.6257	-7.102374	500.11923	184.86653	908.0955	-6.8506184	5.0157022	0.42743823	7.6645126	3.3017426	0.9998461	1.0588765	6.418357	-10.878318	-438.96378	91.26713	91.29512	0.0070380596	0.00029103406	-0.19582818	0.82258314	0.10078006	2.4861867	12.016267	-0.9998462	0.5229237	216.76543	1857.9252688884735
10	1766.5787	560.0587	2593.2727	129.07274	1584415.8	701770.1	2396164.0	125809.47	12.9499	2.6469533	22.187788	6.2674103	9.004892	2.8105407	13.691807	4.2085648	288.0	288.0	0.0	0.0	19173.4	0.058101213304924244	300001.0	503.531	184.11926	909.9028	-5.0989285	503.53036	184.12065	903.9353	-5.8474126	5.0308933	0.45351002	7.823294	3.1543996	1.0004934	1.0576293	6.228569	-12.122303	-443.87775	91.79619	91.80473	0.0071265735	-0.00022707102	-0.22147347	0.8018537	-0.11579983	2.457451	11.68117	-1.000493	0.56229997	214.57864	2072.4845979213715
11	1684.7603	579.2062	2649.8916	171.1108	1869975.6	500863.75	2685316.0	1266144.5	12.201289	2.805538	21.41263	6.9073052	10.464794	2.5814319	14.117084	6.7667437	288.0	288.0	0.0	0.0	20439.582	0.056776616753472224	330001.0	501.7541	182.22363	898.3506	1.0915794	501.75394	182.22414	896.5941	0.98316264	5.020616	0.4397921	7.783175	3.1700377	1.0002433	1.0618607	4.206675	-14.160179	-441.23492	89.4488	89.46994	0.0069921673	-3.485911e-05	-0.20371519	0.8162318	-0.0116531085	2.47356	11.867303	-1.0002431	0.56290174	205.8375	2278.346771001816
