[train] t=  1000 | LossPi=-9.8297 | PiEntropy=-0.3975 | Alpha= 0.5234 | MinQ= 12.4042 | QcPi= 3.5200| BatchCostMean= 0.2466 | BatchCostMax= 0.9199 | BatchCostNZ= 0.4297| WinRewMean= 2645.0154 | WinCostMean= 0.2605 | Beta= 0.6723
[train] t=  2000 | LossPi=-35.0120 | PiEntropy=-0.9405 | Alpha= 0.3723 | MinQ= 38.6398 | QcPi= 5.0980| BatchCostMean= 0.2331 | BatchCostMax= 0.9199 | BatchCostNZ= 0.4258| WinRewMean= 6284.9905 | WinCostMean= 0.2407 | Beta= 0.6429
[train] t=  3000 | LossPi=-67.7226 | PiEntropy=-1.1300 | Alpha= 0.4089 | MinQ= 72.3993 | QcPi= 6.1632| BatchCostMean= 0.1972 | BatchCostMax= 0.8494 | BatchCostNZ= 0.4453| WinRewMean= 8016.0530 | WinCostMean= 0.1896 | Beta= 0.6838
[train] t=  4000 | LossPi=-100.5256 | PiEntropy=-0.9269 | Alpha= 0.4839 | MinQ= 106.2097 | QcPi= 6.9141| BatchCostMean= 0.2124 | BatchCostMax= 0.8976 | BatchCostNZ= 0.4766| WinRewMean= 7467.5102 | WinCostMean= 0.1983 | Beta= 0.7572
[train] t=  5000 | LossPi=-120.3295 | PiEntropy=-1.0918 | Alpha= 0.5136 | MinQ= 127.1780 | QcPi= 7.5584| BatchCostMean= 0.2017 | BatchCostMax= 0.8822 | BatchCostNZ= 0.4570| WinRewMean= 7233.5980 | WinCostMean= 0.1955 | Beta= 0.8319
[train] t=  6000 | LossPi=-140.0678 | PiEntropy=-0.9391 | Alpha= 0.5523 | MinQ= 147.6110 | QcPi= 7.7522| BatchCostMean= 0.2232 | BatchCostMax= 0.9166 | BatchCostNZ= 0.4805| WinRewMean= 7641.2574 | WinCostMean= 0.1801 | Beta= 0.9061
[train] t=  7000 | LossPi=-170.3124 | PiEntropy=-1.0773 | Alpha= 0.5856 | MinQ= 179.2404 | QcPi= 8.4613| BatchCostMean= 0.1947 | BatchCostMax= 0.8853 | BatchCostNZ= 0.4492| WinRewMean= 8046.2737 | WinCostMean= 0.1743 | Beta= 0.9806
[train] t=  8000 | LossPi=-191.5321 | PiEntropy=-0.9368 | Alpha= 0.5965 | MinQ= 201.5981 | QcPi= 9.0037| BatchCostMean= 0.2091 | BatchCostMax= 0.8621 | BatchCostNZ= 0.4805| WinRewMean= 6770.5579 | WinCostMean= 0.1964 | Beta= 1.0559
[train] t=  9000 | LossPi=-210.2266 | PiEntropy=-1.0985 | Alpha= 0.5527 | MinQ= 221.3764 | QcPi= 9.3010| BatchCostMean= 0.2099 | BatchCostMax= 0.8786 | BatchCostNZ= 0.4688| WinRewMean= 4887.6078 | WinCostMean= 0.2362 | Beta= 1.1335
[train] t= 10000 | LossPi=-217.9585 | PiEntropy=-0.9722 | Alpha= 0.5659 | MinQ= 230.6545 | QcPi= 10.0095| BatchCostMean= 0.2385 | BatchCostMax= 0.8648 | BatchCostNZ= 0.5352| WinRewMean= 4710.9895 | WinCostMean= 0.2414 | Beta= 1.2134
[train] t= 11000 | LossPi=-238.6707 | PiEntropy=-0.8488 | Alpha= 0.5589 | MinQ= 252.3310 | QcPi= 10.1866| BatchCostMean= 0.1931 | BatchCostMax= 0.8663 | BatchCostNZ= 0.4453| WinRewMean= 7891.2102 | WinCostMean= 0.1725 | Beta= 1.2944
[train] t= 12000 | LossPi=-255.4638 | PiEntropy=-1.0031 | Alpha= 0.5673 | MinQ= 270.8060 | QcPi= 10.7387| BatchCostMean= 0.1983 | BatchCostMax= 0.8621 | BatchCostNZ= 0.4766| WinRewMean= 6739.5511 | WinCostMean= 0.1767 | Beta= 1.3757
