Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	QcPi	QcPiRaw	QcPiVar	QcPiCVaR	PiEntTerm	PiQTerm	PiCostTerm	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	1895.8711	621.0103	2826.564	471.2138	1749729.8	867241.7	2735783.5	484771.53	53.16073	16.084646	104.11018	23.584457	35.11959	13.307151	63.142212	20.002106	288.0	288.0	0.0	0.0	5544.563	0.09240938313802083	30001.0	287.29874	174.6109	947.1725	-3.1298811	287.31366	174.58678	947.68317	-4.1738825	10.45914	4.063993	23.282404	0.3154258	1.9478501	1.3035861	16.884508	0.0014498293	0.97716796	1.2616906	21.100111	-14.401056	-265.00815	37.780384	37.621418	0.037658546	0.0024644493	0.013411223	-0.5948972	0.56044316	10.438986	10.432057	1.9475144	11.483487	0.5470319	287.32953	21.774357	-13.409166	0.4100091	1.6778914	-0.9771677	0.31576705	151.39822	152.15933680534363
2	1809.5138	635.9118	2780.809	307.82437	1698216.4	617330.75	2789806.5	517097.72	33.682957	10.130282	80.18373	19.831858	11.321177	2.9300282	17.033545	7.7701855	288.0	288.0	0.0	0.0	9040.792	0.10045324435763889	60001.0	504.51868	167.93216	1073.6276	61.32453	504.51712	167.93765	1070.406	61.320976	12.911333	2.8004012	23.662586	6.7047935	3.329452	1.6477805	10.864355	1.6534638	1.0013556	1.1435655	6.0051813	-13.6430435	-440.24283	88.11235	88.033035	0.031613395	0.0014109235	-0.000824087	-0.21331589	0.8093668	12.857306	12.857288	3.3300576	14.277405	0.81019086	504.21994	63.166946	-40.79862	1.4797151	4.473668	-1.0013562	0.3073976	154.57118	306.78342294692993
3	1809.2043	566.19415	2747.2532	228.21176	1959340.2	556405.06	2891418.8	796165.2	23.958101	4.019884	36.777233	14.340731	19.467411	3.9323578	25.265047	12.018061	288.0	288.0	0.0	0.0	11532.597	0.09610497233072916	90001.0	535.14404	175.2372	1081.0946	29.618448	535.14404	175.23894	1077.6448	27.96067	10.065958	1.7956926	18.945683	6.613384	2.0402122	1.918146	10.427279	0.70734704	1.0002153	1.0877365	7.803009	-13.7091055	-452.49606	95.7429	95.55908	0.01940516	0.001282208	1.89857e-05	-0.1684366	0.8454655	10.010353	10.010263	2.04003	11.073732	0.8454465	534.70386	81.362305	-44.275967	1.9971598	7.41727	-1.0002161	0.28156042	156.89049	463.6151022911072
4	1866.4108	517.5674	2748.6545	102.51142	1681019.8	1090184.6	2819170.8	71477.31	18.253695	3.4984047	26.334496	9.2906685	11.373724	4.0909243	16.474863	2.5469923	288.0	288.0	0.0	0.0	13439.002	0.08959334635416667	120001.0	532.4882	178.69461	1078.1136	11.728611	532.49207	178.685	1079.3595	11.704255	7.646055	0.9815149	13.4164295	4.290989	1.2963796	1.1883937	7.035051	0.54896885	1.0002717	1.0437438	14.316542	-13.029512	-444.13913	101.61518	101.5478	0.012687533	0.00073943654	-7.6365344e-05	-0.12811697	0.88005537	7.589611	7.58891	1.2961615	8.440226	0.8801317	531.9605	86.941284	-35.14578	2.334487	10.359097	-1.000272	0.29022455	159.05713	622.7521398067474
5	1623.6394	665.0633	2572.7234	106.811615	1464385.8	1025493.0	2679023.2	6000.0	14.58812	3.1409605	29.672771	8.917898	6.771862	3.5046976	12.20592	0.0	288.0	288.0	0.0	0.0	14947.782	0.08304323459201389	150001.0	516.67725	181.39735	1062.2688	-0.98694265	516.67725	181.39207	1068.6426	-1.8068738	6.0693054	0.68140274	10.119949	3.5370085	0.9108335	0.75053614	4.489668	0.39331165	1.0005301	1.0428977	9.221366	-12.104228	-425.86612	99.76951	100.21975	0.008684395	0.0004848653	-0.0003600718	-0.07698548	0.9262926	6.012903	6.009929	0.9107201	6.7341666	0.9266527	515.9407	89.147934	-22.7048	2.5849078	13.28881	-1.00053	0.3049929	157.95752	780.7250514030457
6	1578.87	649.9328	2596.0571	48.313828	1381302.2	646937.06	2393134.0	206171.16	11.096415	2.6171513	19.196238	3.4202573	5.4101324	2.3339903	8.945918	2.0137322	288.0	288.0	0.0	0.0	16104.448	0.07668784877232143	180001.0	493.11984	185.16728	962.61334	-9.0399475	493.11734	185.17152	964.18445	-10.644193	5.1053214	0.46554163	8.129955	3.3005729	0.66957253	0.51065916	3.213118	0.30419442	1.0001011	1.0363414	15.111407	-12.954116	-399.60724	96.9715	97.37261	0.006623571	0.00042331655	2.514584e-05	-0.034091808	0.96694833	5.0505214	5.0435057	0.6693944	5.673811	0.9669232	492.24164	91.66745	-10.794382	2.7830675	16.189867	-1.0001003	0.3021431	158.54701	939.3113033771515
7	1550.5618	601.79425	2539.5073	43.909233	1447247.8	814982.0	2447023.5	0.0	9.477852	2.061529	14.826008	2.1607554	5.3277473	3.4082544	12.383318	0.0	288.0	288.0	0.0	0.0	17091.857	0.07121607259114583	210001.0	470.63794	185.0128	892.01654	-10.341885	470.63593	185.01913	889.3548	-10.664522	4.597145	0.35200706	7.03208	3.3021445	0.535318	0.33900875	2.4047391	0.27960184	1.0001519	1.0319089	14.388326	-12.621892	-371.49185	93.419876	93.60825	0.0055292826	0.00032782997	-3.3664477e-05	0.00046181233	1.0007489	4.545462	4.5342593	0.5351201	5.1099567	1.0007826	469.6974	97.20475	-3.3955	2.9456022	19.039663	-1.0001519	0.31931806	160.18129	1099.464004278183
8	1533.3027	553.78656	2522.3896	57.543808	1713343.4	622041.5	2591014.8	486726.72	9.118818	2.061944	14.897989	3.4066648	5.294585	1.3210635	7.875926	2.7732737	288.0	288.0	0.0	0.0	18040.947	0.06681832320601852	240001.0	449.09848	176.80522	854.1905	-14.316996	449.09558	176.81293	837.01556	-14.059102	4.4024553	0.29324475	6.36016	3.0971715	0.46081033	0.23249641	1.7208314	0.27200845	1.0000398	1.0204628	13.832134	-11.728851	-340.22754	84.69137	84.7605	0.0047821957	0.00025292058	6.0128696e-05	0.035028465	1.0360013	4.354842	4.341474	0.4605956	4.8843536	1.0359412	448.14227	106.87885	-1.4589937	3.0852923	21.889383	-1.0000385	0.2993424	158.9167	1258.3928470611572
9	1595.0144	596.1571	2477.1902	11.487385	1423465.8	852948.8	2430069.0	0.0	7.9135	2.1379893	12.908565	0.7096067	4.0186987	2.5290055	7.1885343	0.0	288.0	288.0	0.0	0.0	18861.977	0.06287325520833334	270001.0	435.2758	174.20848	828.4624	-19.726328	435.27432	174.2161	831.4098	-20.133823	4.280811	0.2575636	5.915895	3.1076622	0.40653414	0.1594945	1.3530048	0.25759286	1.000197	1.0147572	6.8229084	-11.128148	-316.93665	81.641975	81.72888	0.0041736583	0.00018363429	-0.00010386242	0.061493374	1.0637318	4.236494	4.221536	0.4061952	4.737695	1.0638356	434.3564	116.355934	-0.47275135	3.2009156	24.56431	-1.0001969	0.3060422	159.22273	1417.602865934372
10	1555.2687	677.99	2599.4568	15.401883	1587794.2	586917.3	2169997.5	174775.19	7.720364	2.1367145	12.017001	0.9319101	5.8340664	1.1973189	7.4512224	3.5271804	288.0	288.0	0.0	0.0	19669.275	0.05960386482007576	300001.0	435.78104	181.12831	844.24976	-22.48189	435.7773	181.13644	838.27655	-22.032583	4.2303624	0.23793131	5.6560707	3.1266994	0.3708383	0.11770727	0.9594126	0.2311836	0.9998554	1.014653	8.892515	-11.954138	-319.12082	89.22188	89.21176	0.003879568	0.00015311467	0.00024576226	0.026162548	1.0270479	4.190425	4.174803	0.37044698	4.671095	1.0268022	434.927	114.77936	0.18592088	3.2013361	24.572512	-0.99985576	0.31442332	159.46063	1577.0465042591095
