[train] t=  1000 | LossPi=-16.0894 | PiEntropy=-0.5002 | Alpha= 0.5424 | MinQ= 19.2075 | QcPiCVaR= 4.2239 | QcPi= 3.6766 | QcPiVar= 0.4822| BatchCostMean= 0.2181 | BatchCostMax= 0.9088 | BatchCostNZ= 0.4648| WinRewMean= 4791.2315 | WinCostMean= 0.2036 | Beta= 0.6740
[train] t=  2000 | LossPi=-38.7542 | PiEntropy=-0.5338 | Alpha= 0.4228 | MinQ= 41.9241 | QcPiCVaR= 4.5164 | QcPi= 3.9916 | QcPiVar= 0.4382| BatchCostMean= 0.2533 | BatchCostMax= 0.9003 | BatchCostNZ= 0.4922| WinRewMean= 5027.3484 | WinCostMean= 0.2752 | Beta= 0.6519
[train] t=  3000 | LossPi=-63.6978 | PiEntropy=-1.1387 | Alpha= 0.3799 | MinQ= 67.5588 | QcPiCVaR= 5.2076 | QcPi= 4.6927 | QcPiVar= 0.4216| BatchCostMean= 0.2467 | BatchCostMax= 0.8889 | BatchCostNZ= 0.4883| WinRewMean= 6049.0761 | WinCostMean= 0.2513 | Beta= 0.6583
[train] t=  4000 | LossPi=-84.1247 | PiEntropy=-1.1495 | Alpha= 0.4253 | MinQ= 89.2212 | QcPiCVaR= 6.2968 | QcPi= 5.7414 | QcPiVar= 0.4866| BatchCostMean= 0.2464 | BatchCostMax= 0.8952 | BatchCostNZ= 0.4805| WinRewMean= 5458.6640 | WinCostMean= 0.2647 | Beta= 0.7318
[train] t=  5000 | LossPi=-109.8652 | PiEntropy=-1.3410 | Alpha= 0.4336 | MinQ= 116.1577 | QcPiCVaR= 7.0172 | QcPi= 6.4762 | QcPiVar= 0.4617| BatchCostMean= 0.2327 | BatchCostMax= 0.8940 | BatchCostNZ= 0.4414| WinRewMean= 6213.1245 | WinCostMean= 0.2252 | Beta= 0.8139
[train] t=  6000 | LossPi=-126.7419 | PiEntropy=-0.8522 | Alpha= 0.4327 | MinQ= 134.0651 | QcPiCVaR= 7.7927 | QcPi= 7.2030 | QcPiVar= 0.5474| BatchCostMean= 0.2437 | BatchCostMax= 0.8968 | BatchCostNZ= 0.4648| WinRewMean= 6522.0267 | WinCostMean= 0.2232 | Beta= 0.8924
[train] t=  7000 | LossPi=-154.1514 | PiEntropy=-1.0082 | Alpha= 0.4754 | MinQ= 162.6459 | QcPiCVaR= 8.2656 | QcPi= 7.5863 | QcPiVar= 0.7258| BatchCostMean= 0.2197 | BatchCostMax= 0.8843 | BatchCostNZ= 0.4531| WinRewMean= 8072.9836 | WinCostMean= 0.1714 | Beta= 0.9697
[train] t=  8000 | LossPi=-181.1583 | PiEntropy=-0.9287 | Alpha= 0.4824 | MinQ= 191.0877 | QcPiCVaR= 9.0532 | QcPi= 8.3361 | QcPiVar= 0.8094| BatchCostMean= 0.1764 | BatchCostMax= 0.8691 | BatchCostNZ= 0.3867| WinRewMean= 6792.0065 | WinCostMean= 0.1840 | Beta= 1.0473
[train] t=  9000 | LossPi=-208.5877 | PiEntropy=-1.1335 | Alpha= 0.4500 | MinQ= 220.0453 | QcPiCVaR= 9.7192 | QcPi= 8.9466 | QcPiVar= 0.9415| BatchCostMean= 0.1980 | BatchCostMax= 0.9095 | BatchCostNZ= 0.4570| WinRewMean= 7774.9904 | WinCostMean= 0.1819 | Beta= 1.1264
[train] t= 10000 | LossPi=-215.9347 | PiEntropy=-1.0156 | Alpha= 0.4815 | MinQ= 229.1356 | QcPiCVaR= 10.5388 | QcPi= 9.6982 | QcPiVar= 1.1228| BatchCostMean= 0.1912 | BatchCostMax= 0.8652 | BatchCostNZ= 0.4453| WinRewMean= 6859.7031 | WinCostMean= 0.1841 | Beta= 1.2062
[train] t= 11000 | LossPi=-240.2368 | PiEntropy=-0.6875 | Alpha= 0.4827 | MinQ= 254.5066 | QcPiCVaR= 10.8302 | QcPi= 9.9270 | QcPiVar= 1.3034| BatchCostMean= 0.2291 | BatchCostMax= 0.9678 | BatchCostNZ= 0.4922| WinRewMean= 8625.2150 | WinCostMean= 0.1535 | Beta= 1.2869
